"","Date","State","Race","Cases","Deaths","Hosp","Tests","Region","Gov_Control","Population_By_Race"
"1",2021-03-07,"Alaska","Total",59332,305,1293,NA,"Pacific","Red",733391
"2",2021-03-07,"Alaska","White",18300,127,423,NA,"Pacific","Red",450472
"3",2021-03-07,"Alaska","Black",1499,9,45,NA,"Pacific","Red",23395
"4",2021-03-07,"Alaska","Asian",2447,29,116,NA,"Pacific","Red",47464
"5",2021-03-07,"Alaska","AIAN",12238,111,336,NA,"Pacific","Red",104957
"6",2021-03-07,"Alaska","NHPI",1508,17,126,NA,"Pacific","Red",11209
"7",2021-03-07,"Alaska","Multiracial",4453,4,67,NA,"Pacific","Red",82727
"8",2021-03-07,"Alaska","Other",7130,1,54,NA,"Pacific","Red",14597
"9",2021-03-07,"Alabama","Total",499819,10148,NA,NA,"South","Red",5024279
"10",2021-03-07,"Alabama","White",160347,4730,NA,NA,"South","Red",3329012
"11",2021-03-07,"Alabama","Black",82790,2223,NA,NA,"South","Red",1326341
"12",2021-03-07,"Alabama","Asian",2273,24,NA,NA,"South","Red",69808
"13",2021-03-07,"Alabama","AIAN",NA,NA,NA,NA,"South","Red",21122
"14",2021-03-07,"Alabama","NHPI",NA,NA,NA,NA,"South","Red",2253
"15",2021-03-07,"Alabama","Multiracial",NA,NA,NA,NA,"South","Red",185632
"16",2021-03-07,"Alabama","Other",38000,300,NA,NA,"South","Red",93924
"17",2021-03-07,"Arkansas","Total",324818,5319,NA,NA,"South","Red",3011524
"18",2021-03-07,"Arkansas","White",207596,4171,NA,NA,"South","Red",2193348
"19",2021-03-07,"Arkansas","Black",50842,784,NA,NA,"South","Red",456693
"20",2021-03-07,"Arkansas","Asian",2913,36,NA,NA,"South","Red",47413
"21",2021-03-07,"Arkansas","AIAN",1070,18,NA,NA,"South","Red",16840
"22",2021-03-07,"Arkansas","NHPI",3358,56,NA,NA,"South","Red",11117
"23",2021-03-07,"Arkansas","Multiracial",1804,13,NA,NA,"South","Red",203476
"24",2021-03-07,"Arkansas","Other",16491,203,NA,NA,"South","Red",89782
"25",2021-03-07,"Arizona","Total",826454,16328,57907,NA,"West","Divided",7151502
"26",2021-03-07,"Arizona","White",308453,8066,26710,NA,"West","Divided",4781702
"27",2021-03-07,"Arizona","Black",25775,433,2479,NA,"West","Divided",327077
"28",2021-03-07,"Arizona","Asian",11921,220,1015,NA,"West","Divided",240642
"29",2021-03-07,"Arizona","AIAN",40707,1361,4496,NA,"West","Divided",297590
"30",2021-03-07,"Arizona","NHPI",NA,NA,NA,NA,"West","Divided",14116
"31",2021-03-07,"Arizona","Multiracial",NA,NA,NA,NA,"West","Divided",961794
"32",2021-03-07,"Arizona","Other",46964,465,2562,NA,"West","Divided",549361
"33",2021-03-07,"California","Total",3501394,54124,NA,49646014,"Pacific","Blue",39538223
"34",2021-03-07,"California","White",546630,16586,NA,9172498,"Pacific","Blue",18943660
"35",2021-03-07,"California","Black",111279,3275,NA,1730660,"Pacific","Blue",2202587
"36",2021-03-07,"California","Asian",186562,6105,NA,3980518,"Pacific","Blue",5949136
"37",2021-03-07,"California","AIAN",9025,184,NA,98894,"Pacific","Blue",394188
"38",2021-03-07,"California","NHPI",15281,322,NA,222513,"Pacific","Blue",150531
"39",2021-03-07,"California","Multiracial",42824,693,NA,74171,"Pacific","Blue",5327003
"40",2021-03-07,"California","Other",304477,1103,NA,6354689,"Pacific","Blue",6388999
"41",2021-03-07,"Colorado","Total",435762,5986,NA,NA,"West","Blue",5773714
"42",2021-03-07,"Colorado","White",181669,3869,NA,NA,"West","Blue",4393409
"43",2021-03-07,"Colorado","Black",12637,191,NA,NA,"West","Blue",233712
"44",2021-03-07,"Colorado","Asian",6406,115,NA,NA,"West","Blue",185431
"45",2021-03-07,"Colorado","AIAN",2527,37,NA,NA,"West","Blue",57022
"46",2021-03-07,"Colorado","NHPI",1264,9,NA,NA,"West","Blue",8094
"47",2021-03-07,"Colorado","Multiracial",6580,186,NA,NA,"West","Blue",609976
"48",2021-03-07,"Colorado","Other",3312,38,NA,NA,"West","Blue",283146
"49",2021-03-07,"Connecticut","Total",285330,7704,NA,NA,"Northeast","Blue",3605944
"50",2021-03-07,"Connecticut","White",85469,5413,NA,NA,"Northeast","Blue",2522166
"51",2021-03-07,"Connecticut","Black",19651,906,NA,NA,"Northeast","Blue",385407
"52",2021-03-07,"Connecticut","Asian",3019,83,NA,NA,"Northeast","Blue",170945
"53",2021-03-07,"Connecticut","AIAN",393,3,NA,NA,"Northeast","Blue",9043
"54",2021-03-07,"Connecticut","NHPI",NA,NA,NA,NA,"Northeast","Blue",1345
"55",2021-03-07,"Connecticut","Multiracial",17642,353,NA,NA,"Northeast","Blue",288485
"56",2021-03-07,"Connecticut","Other",15284,38,NA,NA,"Northeast","Blue",233926
"57",2021-03-07,"District of Columbia","Total",41419,1030,NA,NA,"Midatlantic","Blue",689545
"58",2021-03-07,"District of Columbia","White",10708,105,NA,NA,"Midatlantic","Blue",265633
"59",2021-03-07,"District of Columbia","Black",20164,773,NA,NA,"Midatlantic","Blue",297101
"60",2021-03-07,"District of Columbia","Asian",914,14,NA,NA,"Midatlantic","Blue",27067
"61",2021-03-07,"District of Columbia","AIAN",86,NA,NA,NA,"Midatlantic","Blue",2209
"62",2021-03-07,"District of Columbia","NHPI",82,NA,NA,NA,"Midatlantic","Blue",420
"63",2021-03-07,"District of Columbia","Multiracial",NA,NA,NA,NA,"Midatlantic","Blue",47278
"64",2021-03-07,"District of Columbia","Other",9148,0,NA,NA,"Midatlantic","Blue",30879
"65",2021-03-07,"Delaware","Total",88354,1473,NA,633424,"Midatlantic","Blue",989948
"66",2021-03-07,"Delaware","White",42730,1036,NA,311489,"Midatlantic","Blue",634244
"67",2021-03-07,"Delaware","Black",19768,329,NA,118013,"Midatlantic","Blue",218266
"68",2021-03-07,"Delaware","Asian",1842,11,NA,16091,"Midatlantic","Blue",40570
"69",2021-03-07,"Delaware","AIAN",NA,NA,NA,NA,"Midatlantic","Blue",3309
"70",2021-03-07,"Delaware","NHPI",NA,NA,NA,NA,"Midatlantic","Blue",365
"71",2021-03-07,"Delaware","Multiracial",NA,NA,NA,NA,"Midatlantic","Blue",64130
"72",2021-03-07,"Delaware","Other",5190,15,NA,58282,"Midatlantic","Blue",32751
"73",2021-03-07,"Florida","Total",1944995,32266,82237,NA,"South","Red",21538187
"74",2021-03-07,"Florida","White",664121,17316,38131,NA,"South","Red",13807410
"75",2021-03-07,"Florida","Black",237772,4812,16138,NA,"South","Red",3355708
"76",2021-03-07,"Florida","Asian",NA,NA,NA,NA,"South","Red",609990
"77",2021-03-07,"Florida","AIAN",NA,NA,NA,NA,"South","Red",59197
"78",2021-03-07,"Florida","NHPI",NA,NA,NA,NA,"South","Red",13200
"79",2021-03-07,"Florida","Multiracial",NA,NA,NA,NA,"South","Red",2743467
"80",2021-03-07,"Florida","Other",141809,1427,4284,NA,"South","Red",1045557
"81",2021-03-07,"Georgia","Total",1023487,17906,56797,NA,"South","Red",10711908
"82",2021-03-07,"Georgia","White",319208,8939,24335,NA,"South","Red",5820019
"83",2021-03-07,"Georgia","Black",216068,5282,22046,NA,"South","Red",3373948
"84",2021-03-07,"Georgia","Asian",17888,298,1029,NA,"South","Red",465487
"85",2021-03-07,"Georgia","AIAN",504,10,20,NA,"South","Red",37920
"86",2021-03-07,"Georgia","NHPI",746,10,69,NA,"South","Red",7411
"87",2021-03-07,"Georgia","Multiracial",NA,NA,NA,NA,"South","Red",638881
"88",2021-03-07,"Georgia","Other",36133,78,1076,NA,"South","Red",378659
"89",2021-03-07,"Hawaii","Total",27891,445,2226,NA,"Pacific","Blue",1455271
"90",2021-03-07,"Hawaii","White",3646,40,151,NA,"Pacific","Blue",333296
"91",2021-03-07,"Hawaii","Black",580,4,15,NA,"Pacific","Blue",28665
"92",2021-03-07,"Hawaii","Asian",6068,244,521,NA,"Pacific","Blue",538970
"93",2021-03-07,"Hawaii","AIAN",NA,NA,NA,NA,"Pacific","Blue",4210
"94",2021-03-07,"Hawaii","NHPI",8008,137,660,NA,"Pacific","Blue",150797
"95",2021-03-07,"Hawaii","Multiracial",NA,NA,NA,NA,"Pacific","Blue",370148
"96",2021-03-07,"Hawaii","Other",1035,6,38,NA,"Pacific","Blue",24503
"97",2021-03-07,"Iowa","Total",339671,5558,NA,NA,"Midwest","Red",3190369
"98",2021-03-07,"Iowa","White",200406,5154,NA,NA,"Midwest","Red",2769619
"99",2021-03-07,"Iowa","Black",10190,134,NA,NA,"Midwest","Red",120619
"100",2021-03-07,"Iowa","Asian",3397,61,NA,NA,"Midwest","Red",78940
"101",2021-03-07,"Iowa","AIAN",888,19,NA,NA,"Midwest","Red",10111
"102",2021-03-07,"Iowa","NHPI",824,16,NA,NA,"Midwest","Red",4582
"103",2021-03-07,"Iowa","Multiracial",NA,NA,NA,NA,"Midwest","Red",150396
"104",2021-03-07,"Iowa","Other",2379,47,NA,NA,"Midwest","Red",54569
"105",2021-03-07,"Idaho","Total",172931,1879,NA,NA,"West","Red",1839106
"106",2021-03-07,"Idaho","White",99914,1761,NA,NA,"West","Red",1574859
"107",2021-03-07,"Idaho","Black",1008,9,NA,NA,"West","Red",12781
"108",2021-03-07,"Idaho","Asian",1219,17,NA,NA,"West","Red",24987
"109",2021-03-07,"Idaho","AIAN",2054,35,NA,NA,"West","Red",22297
"110",2021-03-07,"Idaho","NHPI",409,NA,NA,NA,"West","Red",2721
"111",2021-03-07,"Idaho","Multiracial",NA,NA,NA,NA,"West","Red",132577
"112",2021-03-07,"Idaho","Other",13191,41,NA,NA,"West","Red",83887
